Initial Investment = INR 0 LAKHS, Rate/Month=15
Month, Final_Amount(INR),tax (INR), Zakaat(INR)
1,0.11 LAKHS,0.30 THOUSANDS,0.00
2,0.13 LAKHS,0.34 THOUSANDS,0.00
3,0.14 LAKHS,0.38 THOUSANDS,0.00
4,0.16 LAKHS,0.42 THOUSANDS,0.00
5,0.18 LAKHS,0.47 THOUSANDS,0.00
6,0.20 LAKHS,0.53 THOUSANDS,0.00
7,0.22 LAKHS,0.59 THOUSANDS,0.00
8,0.25 LAKHS,0.66 THOUSANDS,0.00
9,0.28 LAKHS,0.74 THOUSANDS,0.00
10,0.31 LAKHS,0.83 THOUSANDS,0.00
11,0.35 LAKHS,0.93 THOUSANDS,0.00
12,0.38 LAKHS,1.04 THOUSANDS,973.99
13,0.44 LAKHS,1.17 THOUSANDS,0.00
14,0.49 LAKHS,1.31 THOUSANDS,0.00
15,0.55 LAKHS,1.47 THOUSANDS,0.00
16,0.61 LAKHS,1.64 THOUSANDS,0.00
17,0.69 LAKHS,1.84 THOUSANDS,0.00
18,0.77 LAKHS,2.06 THOUSANDS,0.00
19,0.86 LAKHS,2.31 THOUSANDS,0.00
20,0.96 LAKHS,2.58 THOUSANDS,0.00
21,1.08 LAKHS,2.89 THOUSANDS,0.00
22,1.21 LAKHS,3.24 THOUSANDS,0.00
23,1.36 LAKHS,3.63 THOUSANDS,0.00
24,1.48 LAKHS,4.07 THOUSANDS,3794.66
25,1.70 LAKHS,4.55 THOUSANDS,0.00
26,1.90 LAKHS,5.10 THOUSANDS,0.00
27,2.13 LAKHS,5.71 THOUSANDS,0.00
28,2.39 LAKHS,6.40 THOUSANDS,0.00
29,2.67 LAKHS,7.17 THOUSANDS,0.00
30,3.00 LAKHS,8.02 THOUSANDS,0.00
31,3.36 LAKHS,8.99 THOUSANDS,0.00
32,3.76 LAKHS,10.07 THOUSANDS,0.00
33,4.21 LAKHS,11.27 THOUSANDS,0.00
34,4.71 LAKHS,12.63 THOUSANDS,0.00
