Initial Investment = INR 4400000 , Rate/Month=10.00
TIME, Final_Amount(INR),tax (INR), Zakaat(INR)
0 years 1 months,47.49 LAKHS,88.00 THOUSANDS,0.00
0 years 2 months,51.26 LAKHS,94.98 THOUSANDS,0.00
0 years 3 months,55.33 LAKHS,102.52 THOUSANDS,0.00
0 years 4 months,59.73 LAKHS,110.66 THOUSANDS,0.00
0 years 5 months,64.47 LAKHS,119.45 THOUSANDS,0.00
0 years 6 months,69.60 LAKHS,128.95 THOUSANDS,0.00
0 years 7 months,75.14 LAKHS,139.20 THOUSANDS,0.00
0 years 8 months,81.12 LAKHS,150.28 THOUSANDS,0.00
0 years 9 months,87.58 LAKHS,162.24 THOUSANDS,0.00
0 years 10 months,94.56 LAKHS,175.16 THOUSANDS,0.00
0 years 11 months,1.02 CRORE,1.89 LAKHS,0.00
1 years 0 months,1.07 CRORE,2.04 LAKHS,275575.43
1 years 1 months,1.19 CRORE,2.20 LAKHS,0.00
1 years 2 months,1.29 CRORE,2.38 LAKHS,0.00
1 years 3 months,1.39 CRORE,2.57 LAKHS,0.00
1 years 4 months,1.50 CRORE,2.78 LAKHS,0.00
1 years 5 months,1.62 CRORE,3.00 LAKHS,0.00
1 years 6 months,1.75 CRORE,3.24 LAKHS,0.00
1 years 7 months,1.89 CRORE,3.49 LAKHS,0.00
1 years 8 months,2.04 CRORE,3.77 LAKHS,0.00
1 years 9 months,2.20 CRORE,4.07 LAKHS,0.00
1 years 10 months,2.38 CRORE,4.40 LAKHS,0.00
1 years 11 months,2.57 CRORE,4.75 LAKHS,0.00
2 years 0 months,2.70 CRORE,5.13 LAKHS,692522.52
2 years 1 months,2.99 CRORE,5.54 LAKHS,0.00
2 years 2 months,3.23 CRORE,5.98 LAKHS,0.00
2 years 3 months,3.49 CRORE,6.46 LAKHS,0.00
2 years 4 months,3.77 CRORE,6.98 LAKHS,0.00
2 years 5 months,4.07 CRORE,7.53 LAKHS,0.00
2 years 6 months,4.39 CRORE,8.14 LAKHS,0.00
2 years 7 months,4.74 CRORE,8.79 LAKHS,0.00
2 years 8 months,5.12 CRORE,9.49 LAKHS,0.00
2 years 9 months,5.53 CRORE,10.25 LAKHS,0.00
2 years 10 months,5.98 CRORE,11.07 LAKHS,0.00
2 years 11 months,6.45 CRORE,11.95 LAKHS,0.00
3 years 0 months,6.80 CRORE,12.91 LAKHS,1742466.24
3 years 1 months,7.53 CRORE,13.94 LAKHS,0.00
3 years 2 months,8.13 CRORE,15.05 LAKHS,0.00
3 years 3 months,8.78 CRORE,16.26 LAKHS,0.00
3 years 4 months,9.48 CRORE,17.56 LAKHS,0.00
3 years 5 months,10.24 CRORE,18.96 LAKHS,0.00
3 years 6 months,11.06 CRORE,20.48 LAKHS,0.00
3 years 7 months,11.94 CRORE,22.12 LAKHS,0.00
3 years 8 months,12.90 CRORE,23.88 LAKHS,0.00
3 years 9 months,13.93 CRORE,25.80 LAKHS,0.00
3 years 10 months,15.04 CRORE,27.86 LAKHS,0.00
3 years 11 months,16.25 CRORE,30.09 LAKHS,0.00
4 years 0 months,17.11 CRORE,32.49 LAKHS,4386403.13
4 years 1 months,18.95 CRORE,35.09 LAKHS,0.00
4 years 2 months,20.46 CRORE,37.90 LAKHS,0.00
4 years 3 months,22.10 CRORE,40.93 LAKHS,0.00
4 years 4 months,23.87 CRORE,44.20 LAKHS,0.00
4 years 5 months,25.78 CRORE,47.74 LAKHS,0.00
4 years 6 months,27.84 CRORE,51.56 LAKHS,0.00
4 years 7 months,30.07 CRORE,55.68 LAKHS,0.00
4 years 8 months,32.47 CRORE,60.13 LAKHS,0.00
4 years 9 months,35.07 CRORE,64.95 LAKHS,0.00
4 years 10 months,37.88 CRORE,70.14 LAKHS,0.00
4 years 11 months,40.91 CRORE,75.75 LAKHS,0.00
5 years 0 months,43.07 CRORE,81.81 LAKHS,11044286.01
5 years 1 months,47.71 CRORE,88.35 LAKHS,0.00
5 years 2 months,51.53 CRORE,95.42 LAKHS,0.00
5 years 3 months,55.65 CRORE,103.06 LAKHS,0.00
5 years 4 months,60.10 CRORE,111.30 LAKHS,0.00
5 years 5 months,64.91 CRORE,120.20 LAKHS,0.00
5 years 6 months,70.10 CRORE,129.82 LAKHS,0.00
5 years 7 months,75.71 CRORE,140.20 LAKHS,0.00
5 years 8 months,81.77 CRORE,151.42 LAKHS,0.00
5 years 9 months,88.31 CRORE,163.53 LAKHS,0.00
5 years 10 months,95.37 CRORE,176.61 LAKHS,0.00
5 years 11 months,103.00 CRORE,190.74 LAKHS,0.00
6 years 0 months,108.46 CRORE,206.00 LAKHS,27809967.70
6 years 1 months,120.14 CRORE,222.48 LAKHS,0.00
6 years 2 months,129.75 CRORE,240.28 LAKHS,0.00
6 years 3 months,140.13 CRORE,259.50 LAKHS,0.00
6 years 4 months,151.34 CRORE,280.26 LAKHS,0.00
6 years 5 months,163.45 CRORE,302.68 LAKHS,0.00
6 years 6 months,176.52 CRORE,326.89 LAKHS,0.00
6 years 7 months,190.64 CRORE,353.04 LAKHS,0.00
6 years 8 months,205.89 CRORE,381.29 LAKHS,0.00
6 years 9 months,222.37 CRORE,411.79 LAKHS,0.00
6 years 10 months,240.15 CRORE,444.73 LAKHS,0.00
6 years 11 months,259.37 CRORE,480.31 LAKHS,0.00
7 years 0 months,273.11 CRORE,518.73 LAKHS,70028806.32
7 years 1 months,302.52 CRORE,560.23 LAKHS,0.00
7 years 2 months,326.73 CRORE,605.05 LAKHS,0.00
7 years 3 months,352.86 CRORE,653.45 LAKHS,0.00
